Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00234108810956965,-2.0130803930053E-05,-0.0160690551998181,0,0,0,1.35087539538164,0.00390803490168998,2.56534541584962E-06,-0.000216074327857083,0.0106245371411029,1.14973895503086E-06,0.0130498291217508,0,0,0,0,0,0,package://ten/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/base_link.STL,l,Partthan-1;Lidar-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rb,-3.80415143830248E-12,0.0124998578121212,-6.34490029960411E-12,0,0,0,0.107249168322434,4.74942167970264E-05,8.73960312790841E-15,8.43331846995312E-15,8.49212804264834E-05,2.74858731609934E-14,4.74942168005901E-05,0,0,0,0,0,0,package://ten/meshes/link_rb.STL,1,1,1,1,0,0,0,0,0,0,package://ten/meshes/link_rb.STL,,banhxe-2,RB_cs,RB_axis,joint_rb,continuous,-0.115,-0.1,-0.02,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_lb,3.12937176172312E-12,-0.0124998578121187,6.3729473087637E-12,0,0,0,0.107249168323003,4.7494216791172E-05,9.81169308698789E-15,4.10186836219358E-15,8.49212804277197E-05,2.2809975952499E-14,4.74942168062899E-05,0,0,0,0,0,0,package://ten/meshes/link_lb.STL,1,1,1,1,0,0,0,0,0,0,package://ten/meshes/link_lb.STL,,banhxe-3,LB_cs,LB_axis,joint_lb,continuous,-0.115,0.1,-0.02,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_rr,-0.000144515368454431,-0.0122164500164231,-0.0199999999999994,0,0,0,0.0360000000000001,1.75187601980783E-05,-1.34621907445705E-07,1.35433811798209E-21,6.14023570291863E-06,1.08855862588802E-19,1.67817095341081E-05,0,0,0,0,0,0,package://ten/meshes/link_rr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/link_rr.STL,,Noicarlike-1,RR_cs,RR_axis,joint_rr,revolute,0.095,-0.045,0,0,0,0,base_link,0,0,-1,5,2,-0.52,0.52,,,,,,,,
link_rf,0.000147857623305242,0.0124989832965397,9.2253288341837E-13,0,0,0,0.107249168322526,4.74994535710132E-05,4.4268414676023E-07,-1.23916628670294E-15,8.49160436629712E-05,-7.06532376135947E-15,4.74942167895427E-05,0,0,0,0,0,0,package://ten/meshes/link_rf.STL,1,1,1,1,0,0,0,0,0,0,package://ten/meshes/link_rf.STL,,banhxe-4,RF_cs,RF_axis,joint_rf,continuous,-0.00065058,-0.054996,-0.02,0,0,0,link_rr,0.011829,0.99993,0,,,,,,,,,,,,
link_rl,5.01128086368985E-05,0.0122172019874497,-0.0199999999999896,0,0,0,0.0360000000000001,1.75201612239934E-05,-4.66849804198466E-08,8.20710226620773E-22,6.13883467700349E-06,1.10478713046735E-19,1.67817095341081E-05,0,0,0,0,0,0,package://ten/meshes/link_rl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/link_rl.STL,,Noicarlike-3,RL_cs,RL_axis,joint_rl,revolute,0.095,0.045,0,0,0,0,base_link,0,0,-1,5,2,-0.52,0.52,,,,,,,,
link_lf,-5.12717787150285E-05,-0.0124997526586414,6.50890105702295E-12,0,0,0,0.107249168323006,4.74948464898463E-05,1.53516643526846E-07,4.00756715628526E-15,8.49206507296815E-05,2.16532696469867E-14,4.7494216806133E-05,0,0,0,0,0,0,package://ten/meshes/link_lf.STL,1,1,1,1,0,0,0,0,0,0,package://ten/meshes/link_lf.STL,,banhxe-7,FL_cs,FL_axis,joint_lf,continuous,0.0002256,0.055,-0.02,0,0,0,link_rl,-0.0041018,1,0,,,,,,,,,,,,
link_armone,3.58101996437571E-05,0.000938784468577515,0.0351600995702962,0,0,0,0.116424727511153,0.000148071630586258,3.97318867028573E-09,1.76471438102145E-07,0.000148135766100354,-6.20001294847141E-06,3.2555585276306E-05,0,0,0,0,0,0,package://ten/meshes/link_armone.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/link_armone.STL,,khop1-1,Armone_cs,Armone_axis,joint_armone,revolute,-0.09,0,0.02,0,0,0,base_link,0,0,1,500,200,-1.57,1.57,,,,,,,,
link_armtwo,0.0639733280023645,-2.03217138236428E-05,-0.00372706572885938,0,0,0,0.0954536009132505,1.50365143680641E-05,1.15034359292028E-06,9.65674458497313E-06,0.000154010483966559,3.01661029684945E-07,0.000152651280277208,0,0,0,0,0,0,package://ten/meshes/link_armtwo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/link_armtwo.STL,,khop2-1,Armtwo_cs,Armtwo_axis,joint_armtwo,revolute,0,0,0.1,-1.5708,0,0,link_armone,0,0,-1,500,200,-0.57,1.57,,,,,,,,
link_grip,0.0287347552375006,0.0050933125366685,-0.000887137660088397,0,0,0,0.0216152724170848,2.16332913809989E-06,-1.58565128334117E-07,-5.51009683754574E-07,6.6272270666211E-06,-9.08425716184011E-08,5.62451028325091E-06,0,0,0,0,0,0,package://ten/meshes/link_grip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ten/meshes/link_grip.STL,,khop3-1,Armthree_cs,Armthree_axis,joint_grip,revolute,0.091469,0,0.008,1.5708,0,0,link_armtwo,0,0,-1,5,2,-0.2,0.2,,,,,,,,
